,time,alpha,beta
10729,0.24330108228382805,0.00105,0.3624799285307744
10730,0.2433237592418189,0.00105,0.36246848293381073
10731,0.24334643619980975,0.00105,0.3624570429620762
10732,0.2433691131578006,0.00105,0.36244560861972186
10733,0.24339179011579146,0.00105,0.3624341799108992
10734,0.24341446707378228,0.00105,0.36242275683975994
10735,0.24343714403177313,0.00105,0.36241133941045667
10736,0.243459820989764,0.00105,0.36239992762714235
10737,0.24348249794775484,0.00105,0.3623885214939704
10738,0.2435051749057457,0.00105,0.3623771210150945
10739,0.24352785186373654,0.00105,0.3623657261946691
10740,0.2435505288217274,0.00105,0.362354337036849
10741,0.24357320577971825,0.00105,0.36234295354578927
10742,0.2435958827377091,0.00105,0.36233157572564567
10743,0.24361855969569995,0.00105,0.36232020358057426
10744,0.24364123665369078,0.00105,0.3623088371147317
10745,0.24366391361168163,0.00105,0.3622974763322745
10746,0.24368659056967248,0.00105,0.36228612123736037
10747,0.24370926752766334,0.00105,0.36227477183414675
10748,0.2437319444856542,0.00105,0.3622634281267918
10749,0.24375462144364504,0.00105,0.3622520901194544
10750,0.2437772984016359,0.00105,0.36224075781629295
10751,0.24379997535962675,0.00105,0.36222943122146706
10752,0.2438226523176176,0.00105,0.362218110339136
10753,0.24384532927560845,0.00105,0.3622067951734602
10754,0.24386800623359928,0.00105,0.3621954857285996
10755,0.24389068319159013,0.00105,0.36218418200871516
10756,0.24391336014958098,0.00105,0.3621728840179678
10757,0.24393603710757183,0.00105,0.36216159176051876
10758,0.2439587140655627,0.00105,0.36215030524052993
10759,0.24398139102355354,0.00105,0.3621390244621632
10760,0.2440040679815444,0.00105,0.3621277494295809
10761,0.24402674493953525,0.00105,0.36211648014694564
10762,0.2440494218975261,0.00105,0.3621052166184202
10763,0.24407209885551695,0.00105,0.3620939588481681
10764,0.2440947758135078,0.00105,0.3620827068403526
10765,0.24411745277149863,0.00105,0.36207146059913725
10766,0.24414012972948948,0.00105,0.36206022012868644
10767,0.24416280668748033,0.00105,0.3620489854331643
10768,0.24418548364547119,0.00105,0.3620377565167354
10769,0.24420816060346204,0.00105,0.3620265333835645
10770,0.2442308375614529,0.00105,0.36201531603781656
10771,0.24425351451944374,0.00105,0.3620041044836571
10772,0.2442761914774346,0.00105,0.36199289872525126
10773,0.24429886843542545,0.00105,0.3619816987667648
10774,0.2443215453934163,0.00105,0.3619705046123639
10775,0.24434422235140713,0.00105,0.3619593162662144
10776,0.24436689930939798,0.00105,0.3619481337324829
10777,0.24438957626738883,0.00105,0.36193695701533557
10778,0.24441225322537968,0.00105,0.36192578611893933
10779,0.24443493018337054,0.00105,0.36191462104746097
10780,0.2444576071413614,0.00105,0.3619034618050674
10781,0.24448028409935224,0.00105,0.3618923083959261
10782,0.2445029610573431,0.00105,0.3618811608242043
10783,0.24452563801533395,0.00105,0.36187001909406946
10784,0.2445483149733248,0.00105,0.3618588832096893
10785,0.24457099193131562,0.00105,0.3618477531752312
10786,0.24459366888930648,0.00105,0.36183662899486385
10787,0.24461634584729733,0.00105,0.3618255106727545
10788,0.24463902280528818,0.00105,0.3618143982130718
10789,0.24466169976327903,0.00105,0.3618032916199837
10790,0.2446843767212699,0.00105,0.3617921908976587
10791,0.24470705367926074,0.00105,0.3617810960502651
10792,0.2447297306372516,0.00105,0.3617700070819715
10793,0.24475240759524244,0.00105,0.3617589239969464
10794,0.2447750845532333,0.00105,0.3617478467993588
10795,0.24479776151122412,0.00105,0.36173677549337696
10796,0.24482043846921497,0.00105,0.3617257100831699
10797,0.24484311542720583,0.00105,0.3617146505729064
10798,0.24486579238519668,0.00105,0.3617035969667554
